,Impressions,Clicks,Conversions,Cost,CTR,Conversion Rate,CPM,CPC,Cost / Conversion
0,46058.0,135.0,1.0,50.0,0.0029310868904424857,0.007407407407407408,1.0855877372009206,0.37037037037037035,50.0
1,43070.0,119.0,3.0,41.09,0.002762944044578593,0.025210084033613446,0.9540283259809613,0.34529411764705886,13.696666666666667
2,33227.0,154.0,5.0,50.0,0.004634784964035273,0.032467532467532464,1.5048003129984653,0.3246753246753247,10.0
3,37419.0,129.0,4.0,50.0,0.003447446484406318,0.031007751937984496,1.336219567599348,0.3875968992248062,12.5
4,31416.0,126.0,5.0,50.0,0.004010695187165776,0.03968253968253968,1.591545709192768,0.3968253968253968,10.0
5,35316.0,130.0,4.0,50.0,0.0036810510816627025,0.03076923076923077,1.4157888775625778,0.38461538461538464,12.5
6,49497.0,198.0,3.0,50.0,0.004000242438935693,0.015151515151515152,1.0101622320544679,0.25252525252525254,16.666666666666668
7,49022.0,164.0,3.0,42.4,0.003345436742686957,0.018292682926829267,0.8649177920117498,0.25853658536585367,14.133333333333333
8,22292.0,141.0,6.0,50.0,0.006325139063341109,0.0425531914893617,2.2429571146599674,0.3546099290780142,8.333333333333334
9,35770.0,133.0,3.0,50.0,0.0037181996086105675,0.022556390977443608,1.397819401733296,0.37593984962406013,16.666666666666668
10,46388.0,164.0,4.0,50.0,0.0035353970854531346,0.024390243902439025,1.077864965077175,0.3048780487804878,12.5
11,36171.0,149.0,5.0,50.0,0.004119322108871748,0.03355704697986577,1.38232285532609,0.33557046979865773,10.0
12,26150.0,111.0,2.0,50.0,0.004244741873804972,0.018018018018018018,1.9120458891013383,0.45045045045045046,25.0
13,31422.0,136.0,3.0,50.0,0.004328177709884794,0.022058823529411766,1.5912418051047037,0.36764705882352944,16.666666666666668
14,23036.0,95.0,5.0,50.0,0.004123979857614169,0.05263157894736842,2.1705157145337735,0.5263157894736842,10.0
15,51980.0,154.0,4.0,45.91,0.0029626779530588687,0.025974025974025976,0.8832243170450172,0.2981168831168831,11.4775
16,45969.0,116.0,2.0,34.5,0.0025234397093693577,0.017241379310344827,0.7505057756314037,0.2974137931034483,17.25
17,19375.0,122.0,8.0,50.0,0.006296774193548387,0.06557377049180328,2.5806451612903225,0.4098360655737705,6.25
18,46864.0,141.0,2.0,50.0,0.003008706043018095,0.014184397163120567,1.0669170365312393,0.3546099290780142,25.0
19,36748.0,156.0,3.0,50.0,0.004245128986611516,0.019230769230769232,1.3606182649395886,0.32051282051282054,16.666666666666668
20,40167.0,123.0,2.0,50.0,0.003062215251325715,0.016260162601626018,1.2448029476933802,0.4065040650406504,25.0
21,38686.0,182.0,5.0,50.0,0.004704544279584346,0.027472527472527472,1.292457219666029,0.27472527472527475,10.0
22,33263.0,112.0,4.0,50.0,0.003367104590686348,0.03571428571428571,1.503171692270691,0.44642857142857145,12.5
23,26365.0,101.0,3.0,50.0,0.0038308363360515835,0.0297029702970297,1.8964536317087046,0.49504950495049505,16.666666666666668
24,40994.0,138.0,4.0,50.0,0.0033663462945796945,0.028985507246376812,1.2196906864419184,0.36231884057971014,12.5
25,40619.0,154.0,3.0,50.0,0.003791329180925183,0.01948051948051948,1.2309510327679165,0.3246753246753247,16.666666666666668
26,39800.0,135.0,2.0,50.0,0.0033919597989949747,0.014814814814814815,1.256281407035176,0.37037037037037035,25.0
27,42747.0,161.0,3.0,48.91,0.00376634617633986,0.018633540372670808,1.1441738601539289,0.3037888198757764,16.30333333333333
28,35241.0,140.0,4.0,50.0,0.00397264549814137,0.02857142857142857,1.4188019636219176,0.35714285714285715,12.5
29,37398.0,132.0,2.0,50.0,0.003529600513396438,0.015151515151515152,1.3369698914380448,0.3787878787878788,25.0
30,35807.0,136.0,4.0,50.0,0.00379814002848605,0.029411764705882353,1.3963750104728125,0.36764705882352944,12.5
31,28453.0,122.0,4.0,50.0,0.004287772818331986,0.03278688524590164,1.7572839419393385,0.4098360655737705,12.5
32,48928.0,140.0,3.0,50.0,0.0028613472858077175,0.02142857142857143,1.0219097449313277,0.35714285714285715,16.666666666666668
33,37388.0,172.0,3.0,50.0,0.004600406547555365,0.01744186046511628,1.3373274847544667,0.29069767441860467,16.666666666666668
34,45421.0,133.0,4.0,50.0,0.00292816098280531,0.03007518796992481,1.1008123995508685,0.37593984962406013,12.5
35,40352.0,164.0,3.0,50.0,0.004064234734337827,0.018292682926829267,1.239095955590801,0.3048780487804878,16.666666666666668
36,37535.0,115.0,3.0,50.0,0.0030638071133608632,0.02608695652173913,1.3320900492873318,0.43478260869565216,16.666666666666668
37,19856.0,113.0,6.0,50.0,0.0056909750201450445,0.05309734513274336,2.518130539887188,0.4424778761061947,8.333333333333334
38,21251.0,88.0,4.0,50.0,0.004140981600865842,0.045454545454545456,2.35283045503741,0.5681818181818182,12.5
39,46430.0,194.0,5.0,50.0,0.0041783329743700194,0.02577319587628866,1.0768899418479432,0.25773195876288657,10.0
40,29906.0,142.0,3.0,50.0,0.004748211061325487,0.02112676056338028,1.671905303283622,0.352112676056338,16.666666666666668
41,44220.0,152.0,4.0,50.0,0.0034373586612392584,0.02631578947368421,1.1307100859339665,0.32894736842105265,12.5
42,47274.0,150.0,2.0,43.17,0.0031729914963827895,0.013333333333333334,0.9131869526589669,0.2878,21.585
43,40613.0,128.0,2.0,36.25,0.0031517001945189963,0.015625,0.8925713441508877,0.283203125,18.125
44,60589.0,174.0,4.0,47.07,0.0028718084140685603,0.022988505747126436,0.7768736899437192,0.2705172413793103,11.7675
