Country,Year,"Total_YearsSchool – Lee-Lee (2016)"
Tunisia,1890,0.01
Tunisia,1895,0.01
Tunisia,1900,0.02
Tunisia,1905,0.02
Tunisia,1910,0.08
Tunisia,1915,0.13
Tunisia,1920,0.18
Tunisia,1925,0.2
Tunisia,1930,0.25
Tunisia,1935,0.42
Tunisia,1940,0.51
Tunisia,1945,0.59
Tunisia,1950,0.68
Tunisia,1955,0.82
Tunisia,1960,0.96
Tunisia,1965,1.37
Tunisia,1970,1.9
Tunisia,1975,2.63
Tunisia,1980,3.47
Tunisia,1985,3.93
Tunisia,1990,4.68
Tunisia,1995,5.48
Tunisia,2000,6.32
Tunisia,2005,7.21
Tunisia,2010,8
Turkey,1870,0.01
Turkey,1875,0.01
Turkey,1880,0.02
Turkey,1885,0.02
Turkey,1890,0.03
Turkey,1895,0.04
Turkey,1900,0.17
Turkey,1905,0.24
Turkey,1910,0.22
Turkey,1915,0.31
Turkey,1920,0.39
Turkey,1925,0.48
Turkey,1930,0.57
Turkey,1935,0.69
Turkey,1940,0.78
Turkey,1945,0.94
Turkey,1950,1.14
Turkey,1955,1.42
Turkey,1960,1.84
Turkey,1965,2.2
Turkey,1970,2.58
Turkey,1975,3.09
Turkey,1980,3.77
Turkey,1985,4.82
Turkey,1990,5.22
Turkey,1995,5.88
Turkey,2000,6.37
Turkey,2005,6.86
Turkey,2010,7.44
Uganda,1870,0.01
Uganda,1875,0.01
Uganda,1880,0.01
Uganda,1885,0.01
Uganda,1890,0.01
Uganda,1895,0.01
Uganda,1900,0.01
Uganda,1905,0.08
Uganda,1910,0.16
Uganda,1915,0.21
Uganda,1920,0.43
Uganda,1925,0.46
Uganda,1930,0.5
Uganda,1935,0.54
Uganda,1940,0.58
Uganda,1945,0.74
Uganda,1950,0.92
Uganda,1955,1.06
Uganda,1960,1.18
Uganda,1965,1.29
Uganda,1970,1.58
Uganda,1975,2
Uganda,1980,2.4
Uganda,1985,3.02
Uganda,1990,3.71
Uganda,1995,4.17
Uganda,2000,4.56
Uganda,2005,5.11
Uganda,2010,5.87
"United Kingdom",1870,0.92
"United Kingdom",1875,0.98
"United Kingdom",1880,1.15
"United Kingdom",1885,1.4
"United Kingdom",1890,1.81
"United Kingdom",1895,2.16
"United Kingdom",1900,2.55
"United Kingdom",1905,3.11
"United Kingdom",1910,3.64
"United Kingdom",1915,4.08
"United Kingdom",1920,4.49
"United Kingdom",1925,4.93
"United Kingdom",1930,5.42
"United Kingdom",1935,5.94
"United Kingdom",1940,6.24
"United Kingdom",1945,6.46
"United Kingdom",1950,6.49
"United Kingdom",1955,6.73
"United Kingdom",1960,7.01
"United Kingdom",1965,7.65
"United Kingdom",1970,8.06
"United Kingdom",1975,8.39
"United Kingdom",1980,8.52
"United Kingdom",1985,8.76
"United Kingdom",1990,9.28
"United Kingdom",1995,9.67
"United Kingdom",2000,9.97
"United Kingdom",2005,11.57
"United Kingdom",2010,12.46
"United States",1870,4.28
"United States",1875,4.6
"United States",1880,4.91
"United States",1885,5.18
"United States",1890,5.55
"United States",1895,5.93
"United States",1900,6.38
"United States",1905,6.72
"United States",1910,6.76
"United States",1915,6.97
"United States",1920,7.2
"United States",1925,7.56
"United States",1930,7.9
"United States",1935,8.34
"United States",1940,8.68
"United States",1945,8.93
"United States",1950,8.74
"United States",1955,9.14
"United States",1960,9.63
"United States",1965,10.42
"United States",1970,11.1
"United States",1975,11.73
"United States",1980,12.28
"United States",1985,12.35
"United States",1990,12.55
"United States",1995,12.83
"United States",2000,13.1
"United States",2005,13.01
"United States",2010,13.24
Uruguay,1870,0.34
Uruguay,1875,0.41
Uruguay,1880,0.51
Uruguay,1885,0.62
Uruguay,1890,0.75
Uruguay,1895,0.85
Uruguay,1900,0.94
Uruguay,1905,1.03
Uruguay,1910,1.44
Uruguay,1915,1.85
Uruguay,1920,2.16
Uruguay,1925,2.84
Uruguay,1930,3.11
Uruguay,1935,3.38
Uruguay,1940,3.72
Uruguay,1945,4.06
Uruguay,1950,4.47
Uruguay,1955,4.77
Uruguay,1960,5.06
Uruguay,1965,5.43
Uruguay,1970,5.94
Uruguay,1975,6.45
Uruguay,1980,6.94
Uruguay,1985,7.4
Uruguay,1990,7.71
Uruguay,1995,8.08
Uruguay,2000,8.36
Uruguay,2005,8.5
Uruguay,2010,8.61
Venezuela,1870,0.02
Venezuela,1875,0.02
Venezuela,1880,0.02
Venezuela,1885,0.03
Venezuela,1890,0.04
Venezuela,1895,0.05
Venezuela,1900,0.44
Venezuela,1905,0.57
Venezuela,1910,0.63
Venezuela,1915,0.74
Venezuela,1920,0.84
Venezuela,1925,0.93
Venezuela,1930,0.98
Venezuela,1935,1.15
Venezuela,1940,1.32
Venezuela,1945,1.59
Venezuela,1950,1.65
Venezuela,1955,2.01
Venezuela,1960,2.44
Venezuela,1965,2.75
Venezuela,1970,3.49
Venezuela,1975,4.51
Venezuela,1980,5.47
Venezuela,1985,5.33
Venezuela,1990,5.26
Venezuela,1995,6.11
Venezuela,2000,7.01
Venezuela,2005,7.8
Venezuela,2010,8.78
Yemen,1870,0.01
Yemen,1875,0.01
Yemen,1880,0.01
Yemen,1885,0.01
Yemen,1890,0.01
Yemen,1895,0.01
Yemen,1900,0.01
Yemen,1905,0.01
Yemen,1910,0.01
Yemen,1915,0.01
Yemen,1920,0.01
Yemen,1925,0.01
Yemen,1930,0.02
Yemen,1935,0.02
Yemen,1940,0.02
Yemen,1945,0.02
Yemen,1950,0.03
Yemen,1955,0.03
Yemen,1960,0.04
Yemen,1965,0.06
Yemen,1970,0.07
Yemen,1975,0.08
Yemen,1980,0.25
Yemen,1985,0.64
Yemen,1990,1.25
Yemen,1995,1.77
Yemen,2000,2.45
Yemen,2005,3.12
Yemen,2010,3.84
Zambia,1870,0.01
Zambia,1875,0.01
Zambia,1880,0.01
Zambia,1885,0.01
Zambia,1890,0.01
Zambia,1895,0.01
Zambia,1900,0.01
Zambia,1905,0.01
Zambia,1910,0.16
Zambia,1915,0.29
Zambia,1920,0.39
Zambia,1925,0.48
Zambia,1930,0.97
Zambia,1935,1.14
Zambia,1940,1.32
Zambia,1945,1.56
Zambia,1950,1.84
Zambia,1955,2.03
Zambia,1960,2.36
Zambia,1965,2.68
Zambia,1970,3.12
Zambia,1975,3.81
Zambia,1980,4.36
Zambia,1985,4.77
Zambia,1990,5.02
Zambia,1995,6.03
Zambia,2000,6.35
Zambia,2005,6.59
Zambia,2010,7.4
Zimbabwe,1870,0.01
Zimbabwe,1875,0.01
Zimbabwe,1880,0.01
Zimbabwe,1885,0.01
Zimbabwe,1890,0.01
Zimbabwe,1895,0.01
Zimbabwe,1900,0.01
Zimbabwe,1905,0.02
Zimbabwe,1910,0.06
Zimbabwe,1915,0.12
Zimbabwe,1920,0.2
Zimbabwe,1925,0.33
Zimbabwe,1930,0.53
Zimbabwe,1935,0.9
Zimbabwe,1940,1.16
Zimbabwe,1945,1.28
Zimbabwe,1950,1.66
Zimbabwe,1955,1.99
Zimbabwe,1960,2.38
Zimbabwe,1965,2.68
Zimbabwe,1970,3.22
Zimbabwe,1975,3.54
Zimbabwe,1980,4.03
Zimbabwe,1985,4.84
Zimbabwe,1990,5.97
Zimbabwe,1995,6.85
Zimbabwe,2000,7.26
Zimbabwe,2005,7.65
Zimbabwe,2010,7.86
