Country,Year,"Total Government Expenditure on Education"
Spain,2012,4.36743
"Sri Lanka",1996,3.3436
"Sri Lanka",1998,3.05142
"Sri Lanka",2009,2.0559
"Sri Lanka",2010,1.96588
"Sri Lanka",2011,1.9954
"Sri Lanka",2012,1.72398
Sudan,2000,1.01218
Sudan,2002,1.42644
Sudan,2004,1.6299
Sudan,2005,1.56307
Sudan,2006,1.96302
Sudan,2008,2.20143
Sudan,2009,2.21868
Swaziland,1996,4.93816
Swaziland,1999,5.09095
Swaziland,2000,5.50848
Swaziland,2001,5.51615
Swaziland,2002,5.07651
Swaziland,2003,6.80507
Swaziland,2004,6.40261
Swaziland,2005,7.42072
Swaziland,2006,8.06158
Swaziland,2008,7.5187
Swaziland,2009,7.0592
Swaziland,2010,6.96617
Swaziland,2011,8.63695
Sweden,1996,6.92501
Sweden,1998,7.16734
Sweden,1999,6.93026
Sweden,2000,6.81885
Sweden,2001,6.68601
Sweden,2002,7.00104
Sweden,2003,6.85764
Sweden,2004,6.72268
Sweden,2005,6.55951
Sweden,2006,6.41067
Sweden,2007,6.21507
Sweden,2008,6.39073
Sweden,2009,6.85779
Sweden,2010,6.62199
Sweden,2011,6.49112
Sweden,2012,7.65619
Switzerland,1996,5.07918
Switzerland,1998,4.88814
Switzerland,2009,5.05967
Switzerland,2010,4.94787
Switzerland,2011,4.99342
Switzerland,2012,5.04805
Syria,1996,3.69905
Syria,2001,4.36049
Syria,2002,5.04694
Syria,2003,6.48084
Syria,2004,5.37148
Syria,2006,5.346
Syria,2007,4.87197
Syria,2008,4.59525
Syria,2009,5.13014
Tajikistan,1996,2.04298
Tajikistan,1998,2.52871
Tajikistan,1999,2.07659
Tajikistan,2000,2.32863
Tajikistan,2001,2.37658
Tajikistan,2002,2.7758
Tajikistan,2003,2.42263
Tajikistan,2004,2.77208
Tajikistan,2005,3.51215
Tajikistan,2006,3.40348
Tajikistan,2007,3.41328
Tajikistan,2008,3.45983
Tajikistan,2009,4.09831
Tajikistan,2010,4.00675
Tajikistan,2011,3.93511
Tajikistan,2012,4.01803
Tanzania,1996,2.53283
Tanzania,1997,2.45859
Tanzania,1998,2.17591
Tanzania,2004,4.65018
Tanzania,2005,4.61078
Tanzania,2006,3.2711
Tanzania,2007,4.0419
Tanzania,2008,4.25245
Tanzania,2009,4.04365
Tanzania,2010,4.62239
Tanzania,2014,3.48143
Thailand,1996,3.52053
Thailand,1997,4.55563
Thailand,1998,4.7008
Thailand,1999,4.99186
Thailand,2000,5.41043
Thailand,2001,5.01636
Thailand,2002,4.09107
Thailand,2003,3.97741
Thailand,2004,4.3196
Thailand,2005,4.22818
Thailand,2006,4.3373
Thailand,2007,3.83607
Thailand,2008,3.75055
Thailand,2009,4.12553
Thailand,2010,3.75264
Thailand,2011,5.15515
Thailand,2012,4.92835
Timor,2008,8.10202
Timor,2009,11.46614
Timor,2010,10.48715
Timor,2011,9.46313
Timor,2014,7.00852
Togo,1996,4.41244
Togo,1998,3.98424
Togo,1999,4.18572
Togo,2000,4.50842
Togo,2001,4.18779
Togo,2002,4.01732
Togo,2003,4.19533
Togo,2004,3.62152
Togo,2005,3.4069
Togo,2006,3.66374
Togo,2007,3.69932
Togo,2008,3.43782
Togo,2009,4.11576
Togo,2010,4.4232
Togo,2011,4.43707
Togo,2012,4.66829
Togo,2013,4.40514
Togo,2014,4.83798
Tonga,1998,5.59089
Tonga,1999,5.46092
Tonga,2000,4.94077
Tonga,2001,4.53256
Tonga,2002,3.79232
Tonga,2003,4.15218
Tonga,2004,3.89872
"Trinidad and Tobago",1996,3.24877
"Trinidad and Tobago",1997,3.32521
"Trinidad and Tobago",1998,2.43891
"Trinidad and Tobago",1999,2.75612
"Trinidad and Tobago",2000,2.75565
"Trinidad and Tobago",2001,3.06529
"Trinidad and Tobago",2002,3.54301
"Trinidad and Tobago",2003,3.156
Tunisia,1996,6.28781
Tunisia,1997,6.67903
Tunisia,1999,6.27099
Tunisia,2000,6.20198
Tunisia,2001,6.20183
Tunisia,2002,5.79003
Tunisia,2003,6.81673
Tunisia,2004,6.72078
Tunisia,2005,6.45157
Tunisia,2006,6.43859
Tunisia,2007,6.46552
Tunisia,2008,6.27219
Tunisia,2009,6.52848
Tunisia,2010,6.202
Tunisia,2012,6.22349
Turkey,1998,0
Turkey,1999,2.95752
Turkey,2000,2.58992
Turkey,2001,2.71185
Turkey,2002,2.81861
Turkey,2003,2.96035
Turkey,2004,3.11739
Turkey,2006,2.86247
Turkmenistan,2012,3.04925
Uganda,2000,2.46167
Uganda,2004,4.95237
Uganda,2009,3.25429
Uganda,2010,2.25446
Uganda,2011,2.69587
Uganda,2012,2.7226
Uganda,2013,2.20093
Ukraine,1997,5.45601
Ukraine,1998,4.44884
Ukraine,1999,3.61808
Ukraine,2000,4.16623
Ukraine,2001,4.68049
Ukraine,2002,5.43333
Ukraine,2003,5.60241
Ukraine,2004,5.30832
Ukraine,2005,6.05848
Ukraine,2006,6.20873
Ukraine,2007,6.1512
Ukraine,2008,6.42993
Ukraine,2009,7.31088
Ukraine,2011,6.16237
Ukraine,2012,6.69233
Ukraine,2013,6.67166
"United Arab Emirates",1997,1.10944
"United Kingdom",1996,4.76335
"United Kingdom",1998,4.56434
"United Kingdom",1999,4.31332
"United Kingdom",2000,4.35218
"United Kingdom",2001,4.40956
"United Kingdom",2002,4.97608
"United Kingdom",2003,5.12047
"United Kingdom",2004,5.00527
"United Kingdom",2005,5.19466
"United Kingdom",2006,5.2469
"United Kingdom",2007,5.1641
"United Kingdom",2008,5.12086
"United Kingdom",2009,5.3124
"United Kingdom",2010,5.95497
"United Kingdom",2011,5.75164
"United Kingdom",2013,5.72
"United States",1998,4.81543
"United States",1999,4.84934
"United States",2001,5.45786
"United States",2002,5.4062
"United States",2003,5.56551
"United States",2004,5.30923
"United States",2005,5.07365
"United States",2006,5.38881
"United States",2007,5.24649
"United States",2008,5.30354
"United States",2009,5.24958
"United States",2010,5.42001
"United States",2011,5.2239
Uruguay,1996,2.86987
Uruguay,1998,2.24337
Uruguay,2000,2.42255
Uruguay,2001,2.80096
Uruguay,2002,2.3222
Uruguay,2003,2.06821
Uruguay,2004,2.49954
Uruguay,2005,2.71475
Uruguay,2006,2.88026
Uruguay,2011,4.35527
Vanuatu,1998,7.64082
Vanuatu,1999,6.16283
Vanuatu,2000,7.00363
Vanuatu,2001,8.95115
Vanuatu,2002,8.13175
Vanuatu,2003,8.44173
Vanuatu,2008,5.78303
Vanuatu,2009,5.01287
Venezuela,2006,3.66906
Venezuela,2007,3.62732
Venezuela,2009,6.87468
Vietnam,2008,4.88674
Vietnam,2010,6.28535
Vietnam,2012,6.30311
Yemen,2000,9.66163
Yemen,2001,9.24471
Yemen,2008,4.5606
Zambia,1998,2.11823
Zambia,1999,1.77495
Zambia,2000,1.78819
Zambia,2004,2.46343
Zambia,2005,1.73553
Zambia,2007,1.24076
Zambia,2008,1.09972
Zimbabwe,2010,1.9661
